,Mã khách hàng,Total Days
245,CUZ00246,60.0
246,CUZ00247,123.0
247,CUZ00248,0.0
248,CUZ00249,0.0
249,CUZ00250,0.0
250,CUZ00251,0.0
251,CUZ00252,0.0
252,CUZ00253,168.0
253,CUZ00254,0.0
254,CUZ00255,331.0
255,CUZ00256,0.0
256,CUZ00257,0.0
257,CUZ00258,0.0
258,CUZ00259,0.0
259,CUZ00260,0.0
260,CUZ00261,0.0
261,CUZ00262,0.0
262,CUZ00263,0.0
263,CUZ00264,0.0
264,CUZ00265,0.0
265,CUZ00266,0.0
266,CUZ00267,0.0
267,CUZ00268,0.0
268,CUZ00269,0.0
269,CUZ00270,0.0
270,CUZ00271,0.0
271,CUZ00272,0.0
272,CUZ00273,0.0
273,CUZ00274,0.0
274,CUZ00275,0.0
275,CUZ00276,0.0
276,CUZ00277,264.0
277,CUZ00278,0.0
278,CUZ00279,0.0
279,CUZ00280,0.0
280,CUZ00281,325.0
281,CUZ00282,0.0
282,CUZ00283,0.0
283,CUZ00284,0.0
284,CUZ00285,0.0
285,CUZ00286,132.0
286,CUZ00287,0.0
287,CUZ00288,0.0
288,CUZ00289,0.0
289,CUZ00290,0.0
290,CUZ00291,0.0
291,CUZ00292,0.0
292,CUZ00293,0.0
293,CUZ00294,0.0
294,CUZ00295,0.0
295,CUZ00296,0.0
296,CUZ00297,0.0
297,CUZ00298,0.0
298,CUZ00299,0.0
299,CUZ00300,0.0
300,CUZ00301,0.0
301,CUZ00302,0.0
302,CUZ00303,0.0
303,CUZ00304,0.0
304,CUZ00305,0.0
305,CUZ00306,0.0
306,CUZ00307,0.0
307,CUZ00308,0.0
308,CUZ00309,0.0
309,CUZ00310,0.0
310,CUZ00311,0.0
311,CUZ00312,0.0
312,CUZ00313,0.0
313,CUZ00314,0.0
314,CUZ00315,0.0
315,CUZ00316,0.0
316,CUZ00317,0.0
317,CUZ00318,0.0
318,CUZ00319,0.0
319,CUZ00320,0.0
320,CUZ00321,0.0
321,CUZ00322,0.0
322,CUZ00323,0.0
323,CUZ00324,0.0
324,CUZ00325,0.0
325,CUZ00326,0.0
326,CUZ00327,0.0
327,CUZ00328,0.0
328,CUZ00329,0.0
329,CUZ00330,279.0
330,CUZ00331,218.0
331,CUZ00332,0.0
332,CUZ00333,0.0
333,CUZ00334,0.0
334,CUZ00335,0.0
335,CUZ00336,0.0
336,CUZ00337,0.0
337,CUZ00338,0.0
338,CUZ00339,0.0
339,CUZ00340,0.0
340,CUZ00341,124.0
341,CUZ00342,0.0
342,CUZ00343,0.0
343,CUZ00344,78.0
344,CUZ00345,0.0
345,CUZ00346,0.0
346,CUZ00347,0.0
347,CUZ00348,0.0
348,CUZ00349,95.0
349,CUZ00350,0.0
350,CUZ00351,0.0
351,CUZ00352,0.0
352,CUZ00353,0.0
353,CUZ00354,0.0
354,CUZ00355,0.0
355,CUZ00356,0.0
356,CUZ00357,0.0
357,CUZ00358,0.0
358,CUZ00359,0.0
359,CUZ00360,0.0
360,CUZ00361,0.0
361,CUZ00362,0.0
362,CUZ00363,0.0
363,CUZ00364,280.0
364,CUZ00365,0.0
365,CUZ00366,0.0
366,CUZ00367,0.0
367,CUZ00368,0.0
368,CUZ00369,0.0
369,CUZ00370,0.0
370,CUZ00371,0.0
371,CUZ00372,0.0
372,CUZ00373,161.0
373,CUZ00374,33.0
374,CUZ00375,0.0
375,CUZ00376,0.0
376,CUZ00377,0.0
377,CUZ00378,0.0
378,CUZ00379,0.0
379,CUZ00380,0.0
380,CUZ00381,0.0
381,CUZ00382,0.0
382,CUZ00383,0.0
383,CUZ00384,0.0
384,CUZ00385,0.0
385,CUZ00386,60.0
386,CUZ00387,0.0
387,CUZ00388,291.0
388,CUZ00389,0.0
389,CUZ00390,0.0
390,CUZ00391,0.0
391,CUZ00392,0.0
392,CUZ00393,0.0
393,CUZ00394,25.0
394,CUZ00395,0.0
395,CUZ00396,0.0
396,CUZ00397,0.0
397,CUZ00398,0.0
398,CUZ00399,244.0
399,CUZ00400,0.0
400,CUZ00401,0.0
401,CUZ00402,123.0
402,CUZ00403,0.0
403,CUZ00404,0.0
404,CUZ00405,0.0
405,CUZ00406,0.0
406,CUZ00407,0.0
407,CUZ00408,0.0
408,CUZ00409,0.0
409,CUZ00410,0.0
410,CUZ00411,91.0
411,CUZ00412,0.0
412,CUZ00413,0.0
413,CUZ00414,0.0
414,CUZ00415,0.0
415,CUZ00416,0.0
416,CUZ00417,0.0
417,CUZ00418,0.0
418,CUZ00419,282.0
419,CUZ00420,0.0
420,CUZ00421,112.0
421,CUZ00422,0.0
422,CUZ00423,0.0
423,CUZ00424,0.0
424,CUZ00425,0.0
425,CUZ00426,0.0
426,CUZ00427,0.0
427,CUZ00428,0.0
428,CUZ00429,0.0
429,CUZ00430,24.0
430,CUZ00431,0.0
431,CUZ00432,0.0
432,CUZ00433,0.0
433,CUZ00434,0.0
434,CUZ00435,0.0
435,CUZ00436,0.0
436,CUZ00437,0.0
437,CUZ00438,0.0
438,CUZ00439,0.0
439,CUZ00440,0.0
440,CUZ00441,0.0
441,CUZ00442,68.0
442,CUZ00443,105.0
443,CUZ00444,0.0
444,CUZ00445,0.0
445,CUZ00446,0.0
446,CUZ00447,0.0
447,CUZ00448,0.0
448,CUZ00449,0.0
449,CUZ00450,0.0
450,CUZ00451,0.0
451,CUZ00452,159.0
452,CUZ00453,0.0
453,CUZ00454,29.0
454,CUZ00455,0.0
455,CUZ00456,0.0
456,CUZ00457,0.0
457,CUZ00458,0.0
458,CUZ00459,0.0
459,CUZ00460,0.0
460,CUZ00461,0.0
461,CUZ00462,0.0
462,CUZ00463,0.0
463,CUZ00464,0.0
464,CUZ00465,0.0
465,CUZ00466,0.0
466,CUZ00467,0.0
467,CUZ00468,0.0
468,CUZ00469,0.0
469,CUZ00470,0.0
470,CUZ00471,0.0
471,CUZ00472,0.0
472,CUZ00473,0.0
473,CUZ00474,72.0
474,CUZ00475,0.0
475,CUZ00476,0.0
476,CUZ00477,0.0
477,CUZ00478,0.0
478,CUZ00479,0.0
479,CUZ00480,0.0
480,CUZ00481,0.0
481,CUZ00482,0.0
482,CUZ00483,0.0
483,CUZ00484,0.0
484,CUZ00485,0.0
485,CUZ00486,0.0
486,CUZ00487,0.0
487,CUZ00488,0.0
488,CUZ00489,0.0
489,CUZ00490,0.0
490,CUZ00491,0.0
491,CUZ00492,0.0
492,CUZ00493,0.0
493,CUZ00494,0.0
494,CUZ00495,0.0
495,CUZ00496,0.0
496,CUZ00497,0.0
497,CUZ00498,0.0
498,CUZ00499,0.0
499,CUZ00500,0.0
500,CUZ00501,0.0
501,CUZ00502,0.0
502,CUZ00503,0.0
503,CUZ00504,270.0
504,CUZ00505,252.0
505,CUZ00506,0.0
506,CUZ00507,120.0
507,CUZ00508,0.0
508,CUZ00509,0.0
509,CUZ00510,0.0
510,CUZ00511,0.0
511,CUZ00512,0.0
512,CUZ00513,0.0
513,CUZ00514,0.0
514,CUZ00515,53.0
515,CUZ00516,0.0
516,CUZ00517,0.0
517,CUZ00518,18.0
518,CUZ00519,0.0
519,CUZ00520,278.0
520,CUZ00521,0.0
521,CUZ00522,0.0
522,CUZ00523,0.0
523,CUZ00524,0.0
524,CUZ00525,0.0
525,CUZ00526,0.0
526,CUZ00527,0.0
527,CUZ00528,0.0
528,CUZ00529,0.0
529,CUZ00530,0.0
530,CUZ00531,0.0
531,CUZ00532,0.0
532,CUZ00533,247.0
533,CUZ00534,0.0
534,CUZ00535,0.0
535,CUZ00536,0.0
536,CUZ00537,0.0
537,CUZ00538,0.0
538,CUZ00539,0.0
539,CUZ00540,0.0
540,CUZ00541,277.0
541,CUZ00542,0.0
542,CUZ00543,0.0
543,CUZ00544,0.0
544,CUZ00545,0.0
545,CUZ00546,0.0
546,CUZ00547,69.0
547,CUZ00548,0.0
548,CUZ00549,196.0
549,CUZ00550,0.0
550,CUZ00551,0.0
551,CUZ00552,0.0
552,CUZ00553,192.0
553,CUZ00554,292.0
554,CUZ00555,35.0
555,CUZ00556,0.0
556,CUZ00557,31.0
557,CUZ00558,278.0
558,CUZ00559,52.0
559,CUZ00560,0.0
560,CUZ00561,0.0
561,CUZ00562,0.0
562,CUZ00563,0.0
563,CUZ00564,0.0
564,CUZ00565,288.0
565,CUZ00566,0.0
566,CUZ00567,0.0
567,CUZ00568,0.0
568,CUZ00569,0.0
569,CUZ00570,213.0
570,CUZ00571,0.0
571,CUZ00572,0.0
572,CUZ00573,0.0
573,CUZ00574,0.0
574,CUZ00575,0.0
575,CUZ00576,0.0
576,CUZ00577,0.0
577,CUZ00578,0.0
